cell_type,temp,mean.time,sd.time,expected_stage,deviation,deviation_frac,rel,rel_temp,rel_dev,total_cells
periderm,32C,29.7708611778528,1.21739672544259,28.56,-3.53030714453921,1.04239710006488,1.16601749457211,,-1.0412267337251,310447
periderm,34C,31.9568191350872,1.18836918344614,31.2,-3.98434918730486,1.02425702356049,1.25163360104975,1.07342609084015,-1.49526877649074,310447
periocular mesenchyme,28C,37.7607099249956,4.83885283663645,23.28,9.73954160260359,1.62202362220772,1,,0,3499
periocular mesenchyme,32C,36.8568096255596,1.96664337121086,28.56,3.55564130316756,1.29050453871007,0.976062412459102,,-6.18390029943602,3499
periocular mesenchyme,34C,36.6062206147028,1.44904093452046,31.2,0.665052292310699,1.17327630175329,0.969426175710519,0.993201011878058,-9.07448931029289,3499
"pharyngeal arch (contains muscle, early cartilage)",28C,44.2261745500876,6.91504698502215,23.28,16.2050062276955,1.89974976589723,1,,0,10834
"pharyngeal arch (contains muscle, early cartilage)",32C,43.6546669380003,5.27615278285023,28.56,10.3534986156082,1.5285247527311,0.98707761596156,,-5.85150761208732,10834
"pharyngeal arch (contains muscle, early cartilage)",34C,43.67144430173,4.96276895418625,31.2,7.73027597933796,1.3997257789016,0.987456969679136,1.00038432004884,-8.47473024835759,10834
pharyngeal arch (early),28C,30.4949587144344,3.26836807744194,23.28,2.47379039204231,1.30992090697742,1,,0,31733
pharyngeal arch (early),32C,33.0197567721158,0.916138237055941,28.56,-0.28141155027623,1.1561539486035,1.08279394903678,,-2.75520194231854,31733
pharyngeal arch (early),34C,33.9668001644721,0.892598269265973,31.2,-1.97436815792,1.08867949245103,1.11384968520696,1.02868111351916,-4.44815854996232,31733
pharyngeal arch (NC-derived),28C,24.1332776632723,1.05435057553624,23.28,-3.88789065911977,1.0366528205873,1,,0,12916
pharyngeal arch (NC-derived),32C,26.535776439891,1.22652221650223,28.56,-6.76539188250107,0.929123824926155,1.09955128392174,,-2.8775012233813,12916
pharyngeal arch (NC-derived),34C,27.3524787829312,1.1842983683065,31.2,-8.58868953946087,0.876682012273436,1.13339261929423,1.03077740517185,-4.7007988803411,12916
pharynx,28C,24.4091486787023,3.37624591170562,23.28,-3.61201964368981,1.04850295011608,1,,0,1013
pharynx,32C,27.1494497354497,6.60635935953199,28.56,-6.15171858694232,0.950610985134795,1.11226532694024,,-2.53969894325251,1013
pharynx,34C,26.0194990079365,4.01314484161357,31.2,-9.92166931445555,0.833958301536427,1.06597322792496,0.95838034514424,-6.30964967076574,1013
posterior lateral line primordium,28C,28.1071372466327,3.76648077470748,23.28,0.0859689242406159,1.20735125629865,1,,0,2407
posterior lateral line primordium,32C,29.3699869729036,3.83544453809214,28.56,-3.93118134948841,1.02836088840699,1.04492985945846,,-4.01715027372903,2407
posterior lateral line primordium,34C,31.6788629407494,5.15207538467644,31.2,-4.26230538164267,1.01534817117786,1.12707539948931,1.07861344882365,-4.34827430588329,2407
posterior spinal cord progenitors,28C,26.5947270249671,2.42963937734587,23.28,-1.42644129742496,1.14238518148484,1,,0,6505
posterior spinal cord progenitors,32C,28.6977445611465,3.36388324511216,28.56,-4.6034237612456,1.00482298883566,1.079076485132,,-3.17698246382064,6505
posterior spinal cord progenitors,34C,30.4947291445177,3.01871481452218,31.2,-5.4464391778744,0.977395164888387,1.14664569092547,1.06261762416703,-4.01999788044944,6505
primordial germ cell,28C,32.8068023521046,5.18364557395861,23.28,4.7856340297125,1.40922690515913,1,,0,677
primordial germ cell,32C,34.2614379084967,4.84346862521867,28.56,0.960269586104674,1.19963017886893,1.04433944950745,,-3.82536444360782,677
primordial germ cell,34C,33.7906254239588,5.69758439721563,31.2,-2.15054289843331,1.08303286615252,1.02998838659419,0.986258239196049,-6.93617692814581,677
pronephric duct,28C,30.6001393976394,4.86867915162848,23.28,2.57897107524734,1.31443897756183,1,,0,499
pronephric duct,32C,33.7924603174603,6.42215599663843,28.56,0.491291995068247,1.18320939486906,1.10432373782151,,-2.08767908017909,499
pronephric duct,34C,34.4193833943834,4.38502012814062,31.2,-1.52178492800867,1.1031853652046,1.12481132674313,1.01855215841148,-4.10075600325601,499
pronephric podocyte,28C,31.6104222700377,2.13877198982054,23.28,3.58925394764561,1.35783600816313,1,,0,513
pronephric podocyte,32C,32.2648758648759,3.0405525753364,28.56,-1.03629245751619,1.12972254428837,1.02070372832249,,-4.6255464051618,513
pronephric podocyte,34C,33.0756798756799,3.11309283199486,31.2,-2.86548844671217,1.06011794473333,1.04635362328048,1.02512961817053,-6.45474239435778,513
pronephros distal tubule,28C,30.5520667354069,5.8020917074943,23.28,2.5308984130148,1.31237400066181,1,,0,3786
pronephros distal tubule,32C,45.0101912901913,6.64819477398471,28.56,11.7090229677992,1.57598708999269,1.47322901851445,,9.17812455478444,3786
pronephros distal tubule,34C,47.9461996183711,6.73087195420986,31.2,12.005031295979,1.53673716725548,1.56932753628762,1.06522985670624,9.47413288296419,3786
pronephros proximal tubule,28C,28.2795731692091,3.65791167772769,23.28,0.258404846816999,1.21475829764644,1,,0,5481
pronephros proximal tubule,32C,34.3852451843617,4.38850860826111,28.56,1.08407686196968,1.20396516751967,1.21590396639369,,0.82567201515268,5481
pronephros proximal tubule,34C,36.3839595347334,3.18377954758377,31.2,0.442791212341286,1.16615254919017,1.28658092952932,1.05812709316613,0.184386365524286,5481
red blood cell,28C,25.1886349825896,3.13459112232376,23.28,-2.83253333980244,1.08198603877103,1,,0,5034
red blood cell,32C,31.0936135076391,3.79245014844104,28.56,-2.20755481475296,1.08871195755039,1.23443027099845,,0.624978525049478,5034
red blood cell,34C,32.1989447879413,2.68308549188663,31.2,-3.74222353445074,1.03201746115197,1.2783124139199,1.03554849873048,-0.909690194648295,5034
retinal neuron,28C,44.1979099280578,7.66905447990517,23.28,16.1767416056657,1.89853564983066,1,,0,24745
retinal neuron,32C,44.4673791409506,3.37323271421369,28.56,11.1662108185585,1.55698106235821,1.00609687682814,,-5.01053078710721,24745
retinal neuron,34C,43.663911380344,3.19195818867768,31.2,7.72274305795195,1.39948433911359,0.98791801357614,0.981931299390059,-8.45399854771379,24745
retinal pigmented epithelium (early),28C,30.1413103654845,5.29517621661081,23.28,2.12014204309247,1.29472982669607,1,,0,6200
retinal pigmented epithelium (early),32C,32.2462345577364,3.5952327583969,28.56,-1.05493376465567,1.12906983745576,1.06983519185889,,-3.17507580774814,6200
retinal pigmented epithelium (early),34C,33.717842251003,3.81414234681843,31.2,-2.22332607138909,1.08070007214753,1.11865880554463,1.04563657473345,-4.34346811448156,6200
"roof plate, flexural + subcommissural organ",28C,27.7412588691531,4.31255661569118,23.28,-0.279909453238998,1.19163483114919,1,,0,2964
"roof plate, flexural + subcommissural organ",32C,31.4463651979829,4.9427338022125,28.56,-1.85480312440921,1.10106320721228,1.13355941582556,,-1.57489367117021,2964
"roof plate, flexural + subcommissural organ",34C,34.288325475878,3.35435788934295,31.2,-1.65284284651407,1.09898479089353,1.23600466862753,1.09037484173457,-1.37293339327507,2964
satellite cells,28C,25.0525134793944,1.30823132637034,23.28,-2.96865484299766,1.07613889516299,1,,0,2379
satellite cells,32C,26.806002615618,2.41006275122422,28.56,-6.49516570677405,0.938585525756933,1.06999254336958,,-3.52651086377639,2379
satellite cells,34C,27.4687718714035,3.41446962031747,31.2,-8.47239645098861,0.880409354852675,1.0964477434169,1.02472465832706,-5.50374160799096,2379
slow-committed myocyte,28C,21.619264736421,0.653315971599507,23.28,-6.40190358597106,0.928662574588531,1,,0,1713
slow-committed myocyte,32C,21.8800168581419,1.41820143842454,28.56,-11.4211514642502,0.766107032848105,1.01206110036118,,-5.01924787827913,1713
slow-committed myocyte,34C,21.7656565656566,0.50849156037517,31.2,-14.1755117567355,0.697617197617198,1.00677136022063,0.994773299617329,-7.77360817076444,1713
support cells/otic vesicle,28C,26.7331026848636,3.50609628839199,23.28,-1.28806563752841,1.14832915312988,1,,0,9739
support cells/otic vesicle,32C,28.0331829626012,3.11623804647673,28.56,-5.26798535979082,0.981554025301164,1.04863185141894,,-3.9799197222624,9739
support cells/otic vesicle,34C,29.3451524862925,3.02938992082372,31.2,-6.59601583609954,0.940549759176042,1.09770844156103,1.04680059076565,-5.30795019857113,9739
thyroid follicle cell,28C,24.8021864665946,2.49512227135088,23.28,-3.21898185579743,1.0653860166063,1,,0,752
thyroid follicle cell,32C,32.3671661671662,6.77643435176485,28.56,-0.934002155225903,1.13330413750582,1.30501261293074,,2.28497970057152,752
thyroid follicle cell,34C,18.7142857142857,,31.2,-17.2268826081064,0.599816849816849,0.754541771528548,0.578187340146874,-14.0079007523089,752
"unknown (dcn+, col6+)",28C,50,,23.28,21.9788316776079,2.14776632302406,1,,0,1338
"unknown (dcn+, col6+)",32C,57.4285714285715,3.63654916038793,28.56,24.1274031061794,2.01080432172869,1.14857142857143,,2.14857142857145,1338
"unknown (dcn+, col6+)",34C,46.4615384615385,2.1757131728817,31.2,10.5203701391464,1.48915187376726,0.929230769230769,0.809031764255644,-11.4584615384616,1338
xanthophore,28C,25.7389150710165,2.80827301595703,23.28,-2.28225325137552,1.10562349961411,1,,0,7841
xanthophore,32C,30.4237740681514,2.82332405366493,28.56,-2.87739425424069,1.06525819566356,1.18201462587715,,-0.595141002865173,7841
xanthophore,34C,33.4679751580048,2.74384179870193,31.2,-2.4731931643873,1.07269151147451,1.30028694160818,1.10005994269594,-0.190939913011775,7841
